title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,book_id,library_id
For Kicks,Dick Francis,4.0,0425194981,9780425194980,eng,292,3062,94,2/3/2004,G.P. Putnam's Sons,028522,2
Rodinsky's Room,Rachel Lichtenstein/Iain Sinclair,3.85,1862073295,9781862073296,eng,362,199,19,2/1/2000,Granta UK,0210421,2
A Yellow Raft in Blue Water,Michael Dorris,3.86,0312421850,9780312421854,en-US,372,16190,897,3/5/2003,Picador USA,0217174,2
A Christmas Carol and Other Christmas Books,Charles Dickens/Robert Douglas-Fairhurst,3.96,0192806947,9780192806949,eng,438,156,20,11/1/2007,Oxford University Press  USA,0231247,2
Crucial Conversations: Tools for Talking When Stakes Are High,Kerry Patterson/Joseph Grenny/Ron McMillan/Al Switzler/Stephen R. Covey,4.03,0071401946,9780071401944,eng,240,40400,2256,7/9/2002,McGraw-Hill Education,0215014,2
Cerulean Sins (Anita Blake  Vampire Hunter  #11),Laurell K. Hamilton,3.85,0515136816,9780515136814,en-US,529,43475,731,8/31/2004,Berkley Books,0230245,2
Queen of the Scene,Queen Latifah/Frank Morrison,4.06,0060778563,9780060778569,en-US,32,94,18,9/26/2006,HarperCollins,0216175,2
The Little Friend,Donna Tartt,3.46,0747562113,9780747562115,eng,559,220,25,10/28/2002,Bloomsbury,0214055,2
Dates from Hell,Kim Harrison/Lynsay Sands/Kelley Armstrong/Lori Handeland,3.78,006085409X,9780060854096,eng,416,10630,309,3/28/2006,Avon,0230268,2
The Johnstown Flood,David McCullough,4.11,0844662925,9780844662923,eng,302,14739,1199,1/1/1990,Peter Smith Publisher,022371,2
The Man Who Changed Everything: The Life of James Clerk Maxwell,Basil Mahon,4.13,0470861711,9780470861714,eng,256,500,46,10/15/2004,Wiley,0229442,2
All Through the Night,Mary Higgins Clark,3.7,0671027123,9780671027124,en-US,256,6332,224,10/1/1999,Pocket Books,0243335,2
Original Sin (Adam Dalgliesh #9),P.D. James,3.91,0446679224,9780446679220,eng,511,6736,297,12/2/2005,Grand Central Publishing,023815,2
A Separate Peace,John Knowles/David Levithan,3.57,0743253973,9780743253970,eng,208,175779,6261,9/30/2003,Scribner,025148,2
The Anglo-Saxons,James Campbell/Eric John/Patrick Wormald,4.04,0140143955,9780140143959,eng,272,550,28,3/28/1991,Penguin,0239582,2
Swan Song,Robert R. McCammon,4.28,067162413X,9780671624132,eng,956,147,23,6/1/1987,Pocket Books,0211541,2
Rat Race,Dick Francis,3.98,0425210766,9780425210765,eng,304,2400,93,7/5/2006,G.P. Putnam's Sons,028528,2
James and the Giant Peach,Roald Dahl/Nancy Ekholm Burkert,4.01,0553150324,9780553150322,eng,154,215,16,1/1/1978,Bantam Skylark,0231628,2
Creatures of the Night,Neil Gaiman/Michael Zulli,3.83,1569719365,9781569719367,eng,46,1706,171,12/27/2004,Dark Horse Books,0222344,2
Girls' Night In,Lauren Henderson/Chris Manby/Sarah Mlynowski/Jill A. Davis/Stella Duffy/Lisa Jewell/Marian Keyes/Sophie Kinsella/Adèle Lang/Carole Matthews/Anna Maxted/Megan McCafferty/Alisa Valdes/Isabel Wolff/Meg Cabot/Jessica Adams/Louise Bagshawe/Emily Barr/Jenny Colgan/Lynda Curnyn/Jennifer Weiner,3.63,0373250746,9780373250745,eng,325,12765,185,8/25/2004,Red Dress Ink,0233723,2
Five Dialogues: Euthyphro  Apology  Crito  Meno  Phaedo,Plato/G.M.A. Grube/John M. Cooper,4.13,0872206335,9780872206335,eng,156,15657,227,10/1/2002,Hackett Publishing Company  Inc.,0230292,2
Selected Poems,Thomas Hardy/Robert Mezey,3.96,0140436995,9780140436990,eng,320,1509,30,12/1/1998,Penguin Books,0233015,2
The Diagnosis,Alan Lightman,2.86,0375725504,9780375725500,eng,384,898,123,2/19/2002,Vintage,0216798,2
Clear Light of Day,Anita Desai,3.68,0618074511,9780618074518,eng,183,2262,144,9/12/2000,Mariner Books,0235997,2
The Eden Express: A Memoir of Insanity,Mark Vonnegut/Kurt Vonnegut Jr.,3.87,1583225439,9781583225431,eng,304,2737,173,11/5/2002,Seven Stories Press,0228134,2
Isolde  Queen of the Western Isle (Tristan and Isolde  #1),Rosalind Miles,3.64,1400047862,9781400047864,eng,360,2260,151,6/24/2003,Broadway Books,0224674,2
Stir-Fry,Emma Donoghue,3.59,1555837239,9781555837235,eng,240,1565,97,12/29/2006,Alyson Books,0244539,2
Earthquake in the Early Morning (Magic Tree House  #24),Mary Pope Osborne/Salvatore Murdocca,3.94,067989070X,9780679890706,eng,96,6816,227,6/15/2010,Random House for Young Readers,0226595,2
Skinny Dip (Mick Stranahan #2),Carl Hiaasen,3.81,0446615129,9780446615129,eng,496,33459,2602,5/1/2006,Grand Central Publishing,0213079,2
Tyler's Ultimate: Brilliant Simple Food to Make Any Time,Tyler Florence/Petrina Tinslay,4.09,1400052386,9781400052387,eng,256,3697,34,9/26/2006,Clarkson Potter,021196,2
The Best Short Stories,Fyodor Dostoyevsky/David Magarshack,4.26,0375756884,9780375756887,eng,320,2711,89,2/13/2001,Modern Library,0212852,2
Goddess of Love (Goddess Summoning  #5),P.C. Cast,4.06,0425215288,9780425215289,eng,292,4475,196,6/5/2007,Berkley Books,0230223,2
Virginia Woolf: An Inner Life,Julia Briggs,4.15,0156032295,9780156032292,eng,544,635,21,11/6/2006,Mariner Books,029507,2
The Long Winter (Little House  #6),Laura Ingalls Wilder/Garth Williams,4.14,0060885424,9780060885427,eng,422,67427,1048,1/1/2007,HarperTrophy,028282,2
The Great American Novel,Philip Roth,3.63,0679749063,9780679749066,eng,416,180,22,4/11/1995,Vintage,0229741,2
The Big Over Easy (Nursery Crime  #1),Jasper Fforde,3.94,0143037234,9780143037231,eng,383,27137,1885,7/25/2006,Penguin,026628,2
Mistral's Kiss (Merry Gentry  #5),Laurell K. Hamilton,4.04,0345443586,9780345443588,en-US,212,27026,421,12/12/2006,Ballantine Books,0230224,2
The Journal of Scott Pendleton Collins: A World War 2 Soldier,Walter Dean Myers,3.96,0439050138,9780439050135,eng,140,1132,181,6/1/1999,Scholastic Inc.,0223549,2
Good Faith,Jane Smiley,3.26,0385721056,9780385721059,eng,432,1837,245,5/11/2004,Anchor Books,0214300,2
How to Be Lost,Amanda Eyre Ward,3.54,0345483170,9780345483171,en-US,290,6176,675,8/30/2005,Ballantine Books,0243409,2
Babbitt,Sinclair Lewis,3.66,0486431673,9780486431673,en-US,320,249,29,9/22/2003,Dover Publications,0211372,2
The Christmas Shoes (Christmas Hope #1),Donna VanLiere,4.23,0312289510,9780312289515,eng,132,32701,967,11/9/2001,St. Martin's Press,0242172,2
Sabbath's Theater,Philip Roth,3.85,0679772596,9780679772590,eng,451,6993,482,8/6/1996,Vintage,0211654,2
Four Blondes,Candace Bushnell,2.82,080213825X,9780802138255,eng,256,23409,877,6/8/2001,Grove Press,026613,2
Euripides II: The Cyclops / Heracles / Iphigenia in Tauris / Helen,Euripides/David Grene/Richmond Lattimore/Witter Bynner/William Arrowsmith,4.31,0226307816,9780226307817,eng,264,790,12,4/15/2002,University of Chicago Press,021470,2
Carrie / 'Salem's Lot / The Shining,Stephen King,4.54,0517219026,9780517219027,eng,1096,13137,61,7/2/2002,Wings,025417,2
Let It Be Love (Effingtons  #11),Victoria Alexander,3.79,0060593202,9780060593209,eng,384,1212,45,10/25/2005,Avon,0237070,2
Half Asleep in Frog Pajamas,Tom Robbins,3.74,184243036X,9781842430361,eng,389,18417,542,1/5/2002,No Exit Press,029567,2
A False Mirror (Inspector Ian Rutledge  #9),Charles Todd,4.02,0060786736,9780060786731,eng,384,2519,225,1/9/2007,William Morrow,0220233,2
The Children of Henry VIII,Alison Weir,4.05,0345407865,9780345407863,eng,385,11134,418,7/8/1997,Ballantine Books,0210106,2
The Aviators (Brotherhood of War  #8),W.E.B. Griffin,4.25,0515100536,9780515100532,eng,464,2567,33,5/1/1989,G.P. Putnam's Sons,0234708,2
Hard Drive: Bill Gates and the Making of the Microsoft Empire,James Wallace/Jim  Erickson,4.11,0887306292,9780887306297,en-US,426,1234,41,3/26/1993,HarperCollins,0241611,2
Mary Engelbreit's Mother Goose: One Hundred Best-Loved Verses,Mary Engelbreit/Leonard S. Marcus,4.37,0060081716,9780060081713,en-US,128,567,50,9/20/2005,HarperCollins,0236665,2
Doctor Who: Cat's Cradle-Warhead,Andrew Cartmel,3.51,0426203674,9780426203674,eng,262,410,34,4/16/1992,Virgin Publishing,0210405,2
Arrowsmith,Sinclair Lewis/E.L. Doctorow,3.82,0451526910,9780451526915,eng,428,5889,300,6/1/1953,Harcourt Brace Jovanovich,0211389,2
Stand by Me,Raynold Gideon,4.32,9998691567,9789998691568,eng,96,1436,24,6/1/1986,Columbia Pictures Pubns,0211611,2
Beach Girls,Luanne Rice,4.06,0553587242,9780553587241,eng,448,8113,234,8/3/2004,Bantam,027505,2
Many Luscious Lollipops: A Book About Adjectives,Ruth Heller,4.06,0698116410,9780698116412,en-US,48,322,41,2/23/1998,Puffin Books,0213257,2
When the Wind Blows (When the Wind Blows  #1),James Patterson,3.93,0446676438,9780446676434,eng,416,42701,1337,4/1/2000,Grand Central Publishing,0213162,2
Reluctant Burglar (To Catch a Thief #1),Jill Elizabeth Nelson,3.67,1590526864,9781590526866,en-US,345,177,27,8/15/2006,Multnomah Books,0237998,2
Horse Heaven,Jane Smiley,3.88,0804119430,9780804119436,eng,640,4583,328,8/26/2003,Ballantine Books,0232226,2
The Spectator Bird,Wallace Stegner,3.99,0140139400,9780140139402,eng,214,4808,550,11/1/1990,Penguin,0211045,2
Code Orange,Caroline B. Cooney,3.63,0385732597,9780385732598,eng,200,5889,693,9/27/2005,Delacorte Press,0244881,2
Bookends,Jane Green,3.72,0767907809,9780767907804,eng,358,226,31,6/11/2002,Broadway Books,0231107,2
Ballet Shoes,Noel Streatfeild,4.07,1842552473,9781842552476,eng,184,210,26,12/23/2004,Orion Children's Books,023776,2
The Politically Incorrect Guide to American History,Thomas E. Woods Jr.,4.03,0895260476,9780895260475,en-US,270,1604,153,11/1/2004,Regnery Publishing,023871,2
It Doesn't Take a Hero: The Autobiography of General H. Norman Schwarzkopf,Norman Schwarzkopf/Peter Petre,4.04,0553563386,9780553563382,eng,640,2554,91,9/1/1993,Bantam,0235092,2
Reading Lolita in Tehran,Azar Nafisi,3.61,0007178484,9780007178483,eng,343,325,56,1/2/2004,Fourth Estate,027610,2
The Door Into Summer,Robert A. Heinlein,4.01,0345413997,9780345413994,eng,304,17232,649,6/17/1997,Del Rey,02348,2
The Time of the Ghost,Diana Wynne Jones,3.66,0064473546,9780064473545,eng,291,2122,123,1/1/1981,HarperTrophy,0234288,2
Black Mischief,Evelyn Waugh,3.76,0316917338,9780316917339,eng,304,2421,132,8/30/2002,Back Bay Books,0230934,2
Flight Dreams (Mark Manning Mystery  #1),Michael Craft,3.73,1575668548,9781575668543,eng,230,150,13,6/16/2000,Kensington,0225563,2
Poirot's Early Cases: 18 Hercule Poirot Mysteries (Hercule Poirot  #41),Agatha Christie/Hugh Fraser/David Suchet,3.92,1572704721,9781572704725,eng,8,5473,144,7/26/2005,AudioGO,0216330,2
The Origin of Species/The Voyage of the Beagle,Charles Darwin/Richard Dawkins,4.15,1400041279,9781400041275,eng,1024,513,34,10/14/2003,Everyman's Library,0234002,2
Baumgartner's Bombay,Anita Desai,3.47,0618056807,9780618056804,eng,240,666,49,5/19/2000,Mariner Books,0236005,2
Dirt (Stone Barrington  #2),Stuart Woods,3.89,0061094234,9780061094231,en-US,448,6279,274,8/7/1997,HarperTorch,0235308,2
Treasure Island,Robert Louis Stevenson/Scott McKowen,3.83,1402714572,9781402714573,en-US,213,420,42,10/1/2004,Sterling Children's Books,02296,2
City of Golden Shadow (Otherland  #1),Tad Williams,3.91,0886777631,9780886777630,eng,780,21714,717,1/1/1998,DAW Books,0228695,2
The Roald Dahl Omnibus: Perfect Bedtime Stories for Sleepless Nights,Roald Dahl,4.35,0880291230,9780880291231,eng,681,2276,170,6/13/1993,Barnes & Noble,0244513,2
A Little Princess,Frances Hodgson Burnett/Scott McKowen,4.2,1402714548,9781402714542,en-GB,208,500,54,10/1/2004,Sterling,0238643,2
The Complete Stories and Poems,Edgar Allan Poe,4.38,0385074077,9780385074070,eng,821,183869,1226,8/15/1984,Doubleday & Company  Inc.,0223919,2
By-Line: Selected Articles and Dispatches of Four Decades,Ernest Hemingway/William M. White,3.96,0684839059,9780684839059,en-US,512,421,33,5/12/1998,Scribner,0210785,2
The Dharma of Star Wars,Matthew Bortolin,4.03,0861714970,9780861714971,eng,224,371,37,4/15/2005,Wisdom Publications,0235454,2
Shadow of the Almighty: The Life and Testament of Jim Elliot,Elisabeth Elliot,4.4,006062213X,9780060622138,eng,272,6946,182,9/29/2009,HarperOne,029551,2
On Christian Doctrine,Augustine of Hippo/D.W. Robertson Jr.,4.03,0024021504,9780024021502,eng,191,2335,67,1/11/1958,Library of Liberal Arts/Bobb-Merrill (Indianapolis  IN),021693,2
The Christian Theology Reader,Alister E. McGrath,4.17,140515358X,9781405153584,eng,744,244,11,9/1/2006,Blackwell Publishers,0223009,2
In the Green Star's Glow (Green Star  #5),Lin Carter,3.51,0879972165,9780879972165,eng,192,93,11,1/20/1976,DAW Books,0215225,2
Velvet Elvis: Repainting the Christian Faith,Rob Bell,3.78,031026345X,9780310263456,eng,194,20131,848,7/31/2005,Zondervan Publishing Company,0244361,2
Shakespeare's Champion (Lily Bard  #2),Charlaine Harris,3.83,0425213102,9780425213100,eng,214,13896,537,12/5/2006,Berkley Books,0232510,2
Selected Poems,Octavio Paz/Eliot Weinberger/Charles Tomlinson/William Carlos Williams/Monique Fong Wust/G. Aroul/Elizabeth Bishop/Paul Blackburn/Lysander Kemp/Denise Levertov/Muriel Rukeyser/Mark Strand,4.21,0811208990,9780811208994,eng,160,373,18,9/17/1984,New Directions,0211705,2
Watchers of Time (Inspector Ian Rutledge  #5),Charles Todd,3.99,0553583166,9780553583168,eng,421,3194,326,7/30/2002,Bantam,0220239,2
A Light in the Attic (Book & CD),Shel Silverstein,4.34,0066236177,9780066236179,en-US,176,597,21,10/9/2001,HarperCollins,0230129,2
Sharpe's Prey (Sharpe  #5),Bernard Cornwell,4.05,0060084537,9780060084530,eng,288,293,23,10/23/2012,Harper Paperbacks,0237299,2
How to Breathe Underwater,Julie Orringer,3.96,014101508X,9780141015088,eng,222,194,34,4/7/2005,Penguin,0240199,2
The Birth of Venus,Sarah Dunant,3.81,0812968972,9780812968972,eng,427,87478,2908,11/30/2004,Random House,0228078,2
Ballad of the Whiskey Robber: A True Story of Bank Heists  Ice Hockey  Transylvanian Pelt Smuggling  Moonlighting Detectives  and Broken Hearts,Julian Rubinstein,4.02,0316010731,9780316010733,eng,352,3448,516,9/13/2005,Back Bay Books,0228805,2
The Book of the Dragon,Ciruelo Cabral,4.2,1402728115,9781402728112,eng,144,372,15,8/1/2005,Union Square Press,0234899,2
No Place Like Home,Mary Higgins Clark,3.87,0743497287,9780743497282,eng,472,11128,599,4/1/2006,Pocket Books,0241487,2
King Lear,William Shakespeare/R.A. Foakes,3.91,1903436591,9781903436592,eng,455,1796,98,5/9/1997,Bloomsbury Arden Shakespeare,0212941,2
The Three Musketeers (The d'Artagnan Romances. #1),Alexandre Dumas/Keith Wren,4.07,1853260401,9781853260407,eng,592,820,92,5/5/2001,Wordsworth Editions,0210563,2
What is Art?,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,3.72,0140446427,9780140446425,eng,230,127,24,8/31/1995,Penguin Classics,025696,2
The Complete Calvin and Hobbes,Bill Watterson,4.82,0740748475,9780740748479,eng,1456,32213,930,9/6/2005,Andrews McMeel Publishing,0224812,2
Great Short Works,Edgar Allan Poe/Gary Richard Thompson,4.26,006083093X,9780060830939,en-US,576,683,13,11/28/1970,Harper Perennial,0236311,2
Harvest,Tess Gerritsen,4.11,067155302X,9780671553029,eng,368,15619,523,8/1/1997,Pocket Books,0240482,2
The Friday Night Knitting Club (Friday Night Knitting Club  #1),Kate Jacobs,3.42,0399154094,9780399154096,eng,352,64473,7744,1/18/2007,G.P. Putnam's Sons,0217204,2
The Wild Shore (Three Californias Triptych  #1),Kim Stanley Robinson,3.75,0312890362,9780312890360,eng,384,2457,170,3/15/1995,Orb Books,0241128,2
The Realm of Possibility,David Levithan,3.93,0375836578,9780375836572,eng,210,14625,1190,5/9/2006,Ember,0223232,2
Ghost Story,Peter Straub,3.95,0671685635,9780671685638,eng,567,61330,1520,9/1/1989,Pocket Books / Simon & Schuster  Inc.,0219581,2
He Came to Set the Captives Free,Rebecca  Brown,4.09,0883683237,9780883683231,en-US,288,1598,168,7/1/1992,Whitaker House,0239961,2
Lair of the White Worm,Bram Stoker,2.86,0646418424,9780646418421,eng,120,2276,244,10/1/2002,Deodand Publishing,0235819,2
Jack of Kinrowan: Jack the Giant-Killer / Drink Down the Moon,Charles de Lint,4.12,0312869592,9780312869595,eng,412,3685,95,9/5/2000,St. Martins Press,0213506,2
The Forbidden (Vampire Huntress  #5),L.A. Banks,4.27,0312940025,9780312940027,eng,490,2133,42,6/27/2006,St. Martin's Paperbacks,0239307,2
Stone of Farewell (Memory  Sorrow  and Thorn  #2),Tad Williams,4.09,0756402972,9780756402976,eng,608,37694,414,4/1/2005,Daw Books,0228689,2
Wifey / Smart Women,Judy Blume,3.68,0743437578,9780743437578,eng,560,376,20,10/2/2001,Pocket Books,0237734,2
Voyage of the Turtle: In Pursuit of the Earth's Last Dinosaur,Carl Safina,4.24,0805078916,9780805078916,eng,383,644,78,5/30/2006,Henry Holt and Company,0240789,2
Beauty and Sadness,Yasunari Kawabata/Howard Hibbett,3.85,0679761055,9780679761051,eng,206,4933,313,1/30/1996,Vintage,0214029,2
The Black Dahlia Files: The Mob  the Mogul  and the Murder That Transfixed Los Angeles,Donald H. Wolfe,3.84,0060582502,9780060582500,en-US,448,635,57,9/5/2006,Harper Paperbacks,0221705,2
The Franklin Affair,Jim Lehrer,3.12,0345468031,9780345468031,eng,208,144,25,6/13/2006,Random House Trade,0241264,2
Dead Souls,Nikolai Gogol/Richard Pevear/Larissa Volokhonsky,3.99,1400043190,9781400043194,eng,445,388,49,9/21/2004,Everyman's Library,0219108,2
Three Men in a Boat and Three Men on the Bummel,Jerome K. Jerome/Jeremy Lewis,4.08,0140437509,9780140437508,en-US,400,2318,182,11/25/1999,Penguin Classics,024926,2
The Copper Beech,Maeve Binchy,3.91,0752876813,9780752876818,eng,407,18720,386,6/1/2005,Orion,0234312,2
Mystical Paths (Starbridge  #5),Susan Howatch,4.23,0006496873,9780006496878,eng,576,1045,38,7/1/1996,HarperCollins Publishers,0211244,2
Easy Riders  Raging Bulls: How the Sex-Drugs-And-Rock-'N'-Roll Generation Saved Hollywood,Peter Biskind,4.12,0747544212,9780747544210,eng,506,414,26,12/10/2014,Bloomsbury Publishing PLC,0215060,2
The Luzhin Defense,Vladimir Nabokov/Michael Scammell,3.95,0679727221,9780679727224,eng,256,7305,277,8/11/1990,Vintage,028153,2
The Conquering Sword of Conan (Conan the Cimmerian  #3),Robert E. Howard/Gregory Manchess/Patrice Louinet,4.33,0345461533,9780345461537,eng,416,3697,83,11/29/2005,Del Rey,0233484,2
Master of the Night (Mageverse #1),Angela Knight,3.88,0425198804,9780425198803,eng,296,4637,125,10/5/2004,Berkley Sensation,0219909,2
Crown Duel (Crown & Court #1-2),Sherwood Smith,4.19,0142301515,9780142301517,eng,471,22971,896,6/10/2002,Firebird,0221060,2
Kid Eternity,Grant Morrison/Duncan Fegredo,3.41,1401209335,9781401209339,eng,144,693,44,2/1/2006,Vertigo,0222350,2
Abandoned Prayers: The Incredible True Story of Murder  Obsession and Amish Secrets,Gregg Olsen,3.79,0312982011,9780312982010,eng,399,1458,98,6/16/2003,St. Martin's True Crime,0226784,2
Rachel se va de viaje (La familia Walsh  #2),Marian Keyes,3.95,8497599179,9788497599177,spa,595,204,21,3/30/2003,DeBolsillo,0222733,2
Forest Mage (Soldier Son  #2),Robin Hobb,3.39,0060757639,9780060757632,eng,718,13716,393,8/29/2006,Harper Voyager,0245106,2
You: The Owner's Manual: An Insider's Guide to the Body That Will Make You Healthier and Younger,Michael F. Roizen/Mehmet C. Oz,3.82,0060765313,9780060765316,en-US,417,3170,286,1/1/2005,Collins Publishers,0229569,2
Palm-of-the-Hand Stories,Yasunari Kawabata/Lane Dunlop/J. Martin Holman,3.99,0374530491,9780374530495,eng,288,1777,129,11/14/2006,Farrar  Straus and Giroux,0214031,2
A Kiss Before Dying,Ira Levin/Otto Penzler,3.94,0786711647,9780786711642,eng,242,6548,556,4/7/2003,Carroll & Graf Publishers,0212770,2
Personal Finance for Dummies,Eric Tyson/Rich Tennant,3.77,0764525905,9780764525902,eng,454,925,92,8/1/2003,John Wiley & Sons,023604,2
The Art of Howl's Moving Castle,Hayao Miyazaki/Yuji Oniki/Joe Hisaishi,4.51,1421500493,9781421500492,eng,256,2874,76,7/1/2005,VIZ Media LLC,026297,2
Small Wonder,Barbara Kingsolver,4.01,0060504080,9780060504083,eng,264,8965,623,4/15/2003,Harper Perennial,0214248,2
A Kiss Remembered,Erin St. Claire/Sandra Brown,3.47,0446612618,9780446612616,eng,224,3667,164,4/1/2003,Grand Central Publishing,0230373,2
Strangers,Dean Koontz,4.0,0425181111,9780425181119,eng,704,38693,590,10/1/2002,Berkley,0215676,2
The Woman In White,Wilkie Collins,4.0,185715018X,9781857150186,en-GB,664,50,11,9/26/1991,Everyman's Library,0245213,2
El perfume: Historia de un asesino,Patrick Süskind,4.02,8432216062,9788432216060,spa,239,4136,255,6/1/2002,Booket,02337,2
